task_id,category,difficulty,task,expected_output
1,Knowledge,easy,Compare OpenAI Gemini and Claude for enterprise workflow automation,Structured comparison
2,Knowledge,easy,Explain the difference between TCP and UDP,Technical explanation
3,Knowledge,easy,Compare REST APIs and GraphQL APIs,Comparison report
4,Knowledge,medium,Summarize recent trends in agentic AI automation,Executive summary
5,Knowledge,medium,Identify risks of using LLM agents in business processes,Risk assessment
6,Knowledge,medium,Compare vector databases and relational databases,Structured comparison
7,Knowledge,medium,Explain how memory improves long-running AI agents,Technical explanation
8,Knowledge,hard,Identify evaluation metrics for AI agent systems,Metric framework
9,Knowledge,hard,Analyze limitations of current autonomous AI agents,Analytical report
10,Knowledge,hard,Recommend an enterprise architecture for AI agent governance,Architecture recommendation
,,,,
11,Reasoning,easy,Recommend an AI solution for automating customer support in a small company,Solution recommendation
12,Reasoning,easy,Classify support tickets into low medium and high priority,Priority classification
13,Reasoning,medium,Design a workflow for processing customer complaints using AI agents,Workflow design
14,Reasoning,medium,Recommend automation opportunities for a company with 50 employees,Automation recommendations
15,Reasoning,medium,Create a weekly operations report template for a small technology company,Report template
16,Reasoning,medium,Draft a professional customer escalation response for a delayed software deployment,Professional response
17,Reasoning,hard,Analyze employee feedback and identify major organizational themes,Theme analysis
18,Reasoning,hard,Create a project status update template for a software implementation project,Status update template
19,Reasoning,hard,Design a KPI framework for measuring AI automation success,KPI framework
20,Reasoning,hard,Design a multi-region disaster recovery strategy for a financial institution,Disaster recovery strategy
,,,,
21,Coding,easy,Write a Python function to read a CSV file and count rows,Python code
22,Coding,easy,Explain an SQL query that joins customers and orders,SQL explanation
23,Coding,medium,Review a Python function and suggest improvements,Code review
24,Coding,medium,Generate a Gemini API integration plan for n8n,Integration plan
25,Coding,medium,Create pseudocode for a planner executor reviewer agent,Pseudocode
26,Coding,hard,Debug a JavaScript function with a logical error,Debugging report
27,Coding,hard,Design a database schema for experiment logging,Database schema
28,Coding,hard,Create test cases for a REST API endpoint,Test cases
29,Coding,hard,Explain how to measure execution time and latency in n8n,Implementation guide
30,Coding,hard,Design a workflow for AI-based ticket triage in an enterprise environment,Workflow design
